"ProteinID","GeneID","Query.Length","Description","SequenceID","Length","GeneSymbol","pident","UniprotID"
"FUN_001067-T1","FUN_001067","Length: 393","Pyruvate dehydrogenase E1 component subunit alpha [Acropora cervicornis]","KAK2570940.1",449,"PDHA1",57.841,"P35486"
"FUN_001071-T1","FUN_001071","Length: 481","AFG1-like ATPase [Acropora cervicornis]","KAK2570938.1",604,"AFG1L",37.5,"Q9HU55"
"FUN_001072-T1","FUN_001072","Length: 1595","Transient receptor potential cation channel subfamily M member 3 [Acropora cervicornis]","KAK2570942.1",1553,"TRPM3",35.819,"A7T1N0"
"FUN_001075-T1","FUN_001075","Length: 102","Mitochondrial import inner membrane translocase subunit Tim13-B [Acropora cervicornis]","KAK2570766.1",145,"TIMM8A",58.763,"Q6GPY0"
"FUN_001083-T1","FUN_001083","Length: 885","Armadillo repeat-containing protein 2 [Acropora cervicornis]","KAK2570761.1",820,"RXFP2",33.809,"Q8NEN0"
"FUN_001092-T1","FUN_001092","Length: 355","Sorbitol dehydrogenase [Acropora cervicornis]","KAK2570561.1",333,"H6PD",58.286,"P0DMQ6"
"FUN_001093-T1","FUN_001093","Length: 381","hypothetical protein P5673_004238 [Acropora cervicornis]","KAK2570562.1",381,NA,24.603,"Q9WXM1"
"FUN_001095-T1","FUN_001095","Length: 362","uncharacterized protein [Acropora muricata]","XP_067048889.1",387,"GPRASP1",26.804,"Q9WXM1"
"FUN_001096-T1","FUN_001096","Length: 283","Proteasome assembly chaperone 1 [Acropora cervicornis]","KAK2570775.1",283,"PSMG1",38.866,"A7RV13"
"FUN_001100-T1","FUN_001100","Length: 227","hypothetical protein P5673_004472 [Acropora cervicornis]","KAK2570777.1",227,NA,48.718,"B9WLD6"
"FUN_001101-T1","FUN_001101","Length: 221","uncharacterized protein LOC114971068 [Acropora millepora]","XP_029207469.1",221,"GPRASP1",23.729,"P03754"
"FUN_001105-T1","FUN_001105","Length: 213","Myophilin [Acropora cervicornis]","KAK2570707.1",207,NA,41.237,"P14318"
"FUN_001106-T1","FUN_001106","Length: 195","Transgelin-2 [Acropora cervicornis]","KAK2570708.1",367,"TAGLN2P2",42.5,"Q9WVA4"
"FUN_001107-T1","FUN_001107","Length: 213","Transgelin-2 [Acropora cervicornis]","KAK2570708.1",367,"TAGLN2P2",39.487,"Q24799"
"FUN_001108-T1","FUN_001108","Length: 137","calponin-1-like [Acropora millepora]","XP_029180830.1",137,"SPECC1L",36.154,"P37397"
"FUN_001111-T1","FUN_001111","Length: 2004","Cation-independent mannose-6-phosphate receptor [Acropora cervicornis]","KAK2570704.1",2357,"M6PR",30.931,"Q07113"
"FUN_001111-T2","FUN_001111","Length:2353","Cation-independent mannose-6-phosphate receptor [Acropora cervicornis]","KAK2570704.1",2357,"M6PR",30.678,"P11717"
"FUN_001112-T1","FUN_001112","Length: 318","Neuropilin-2 [Acropora cervicornis]","KAK2570895.1",317,"NETO2",37.333,"O60462"
"FUN_001113-T1","FUN_001113","Length: 625","Lactadherin [Acropora cervicornis]","KAK2570894.1",574,NA,34.161,"P70490"
"FUN_001114-T1","FUN_001114","Length: 727","Mucin-like protein [Acropora cervicornis]","KAK2570892.1",770,"PARM1",23.974,"P21941"
"FUN_001115-T1","FUN_001115","Length: 486","Solute carrier family 28 member 3 [Acropora cervicornis]","KAK2570891.1",528,"SLC28A3",43.198,"Q9UA35"
"FUN_001116-T1","FUN_001116","Length: 577","Coiled-coil domain-containing protein 91 [Acropora cervicornis]","KAK2570890.1",540,"CCDC91",32.362,"Q7Z6B0"
"FUN_001119-T1","FUN_001119","Length: 646","Fibrinogen C domain-containing protein 1 [Acropora cervicornis]","KAK2570959.1",702,"VSX2",53.241,"Q95LU3"
"FUN_001121-T1","FUN_001121","Length: 648","Fibrinogen C domain-containing protein 1 [Acropora cervicornis]","KAK2570959.1",702,"VSX2",53.571,"Q95LU3"
"FUN_001122-T1","FUN_001122","Length: 836","Coadhesin [Acropora cervicornis]","KAK2570887.1",761,NA,31.818,"B3EWZ3"
"FUN_001123-T1","FUN_001123","Length: 234","Threonylcarbamoyl-AMP synthase [Acropora cervicornis]","KAK2570847.1",233,"AASS",54.146,"Q499R4"
"FUN_001127-T1","FUN_001127","Length: 637","PREDICTED: heterogeneous nuclear ribonucleoprotein R-like [Acropora digitifera]","XP_015767650.1",637,"HNRNPA0",55.062,"Q7TMK9"
"FUN_001128-T1","FUN_001128","Length: 613","Heterogeneous nuclear ribonucleoprotein Q [Acropora cervicornis]","KAK2570844.1",678,"SYNCRIP",48.67,"O60506"
"FUN_001132-T1","FUN_001132","Length: 213","Glutathione S-transferase omega-1 [Acropora cervicornis]","KAK2570500.1",234,"GSTO1",35.526,"O09131"
"FUN_001133-T1","FUN_001133","Length: 233","Glutathione S-transferase omega-1 [Acropora cervicornis]","KAK2570499.1",188,"GSTO1",44.608,"O09131"
"FUN_001135-T1","FUN_001135","Length: 426","tRNA wybutosine-synthesizing protein 5-like [Acropora millepora]","XP_029193637.2",426,"TYW2",29.455,"E1C7T6"
"FUN_001138-T1","FUN_001138","Length: 1017","Presequence protease [Acropora cervicornis]","KAK2570494.1",527,"ACTMAP",51.7,"Q28BR5"
"FUN_001139-T1","FUN_001139","Length: 864","Centrosomal protein of 57 kDa [Acropora cervicornis]","KAK2570957.1",574,"CEP57",39.803,"Q8CEE0"
"FUN_001141-T1","FUN_001141","Length: 680","Fibrinogen C domain-containing protein 1 [Acropora cervicornis]","KAK2570959.1",702,"VSX2",54.63,"Q95LU3"
"FUN_001146-T1","FUN_001146","Length: 433","Alanine--glyoxylate aminotransferase [Acropora cervicornis]","KAK2570955.1",397,"AGXT",50.777,"P31029"
"FUN_001149-T1","FUN_001149","Length: 265","TIP41-like protein, partial [Acropora cervicornis]","KAK2570962.1",261,"LGI1",50.4,"Q5FW12"
"FUN_001153-T1","FUN_001153","Length: 1197","transient receptor potential cation channel subfamily A member 1-like [Acropora muricata]","XP_067051607.1",1197,"TRPA1",28.3,"O75762"
"FUN_001170-T1","FUN_001170","Length: 920","PAX3- and PAX7-binding protein 1-like [Acropora millepora]","XP_029193645.2",920,"PAXBP1",41.413,"Q9Y5B6"
"FUN_001173-T1","FUN_001173","Length: 165","Histone deacetylase complex subunit SAP18 [Acropora cervicornis]","KAK2570786.1",188,"SAP18P1",59.873,"O55128"
"FUN_001177-T1","FUN_001177","Length: 2344","hypothetical protein P5673_004505 [Acropora cervicornis]","KAK2570807.1",654,NA,26.858,"Q8IVG5"
"FUN_001180-T1","FUN_001180","Length: 328","nuclear migration protein nudC-like [Acropora millepora]","XP_044172941.1",328,"MIIP",59.581,"Q5ZIN1"
"FUN_001187-T1","FUN_001187","Length: 3905","Dystrophin [Acropora cervicornis]","KAK2570584.1",2351,"DMD",36.396,"P11532"
"FUN_001198-T1","FUN_001198","Length: 290","Retinol dehydrogenase 8 [Acropora cervicornis]","KAK2570583.1",851,"RDH8",45.038,"Q9N126"
"FUN_001200-T1","FUN_001200","Length:290","Retinol dehydrogenase 8 [Acropora cervicornis]","KAK2570583.1",851,"RDH8",44.828,"Q9N126"
"FUN_001213-T1","FUN_001213","Length: 242","Ras-related protein Rab-39B [Acropora cervicornis]","KAK2570738.1",235,"GPRASP1",53.96,"Q18969"
"FUN_001218-T1","FUN_001218","Length: 177","Protein jagunal-like protein 1 [Acropora cervicornis]","KAK2570535.1",177,"MAPK1IP1L",32.778,"Q4KM64"
"FUN_001221-T1","FUN_001221","Length: 994","Interleukin-1 receptor-associated kinase 1-binding protein 1 [Acropora cervicornis]","KAK2570537.1",1747,"IRAK1BP1",55.208,"O54916"
"FUN_001222-T1","FUN_001222","Length: 302","vacuolar protein sorting-associated protein VTA1 homolog isoform X2 [Acropora millepora]","XP_044172966.1",302,"GPRASP1",46.945,"Q32L63"
"FUN_001230-T1","FUN_001230","Length: 252","GTP-binding protein YPT1 [Acropora cervicornis]","KAK2570857.1",252,"RAB1A",45.54,"P01123"
"FUN_001234-T1","FUN_001234","Length: 271","Argininosuccinate lyase [Acropora cervicornis]","KAK2573645.1",480,"ASL",64.029,"P51464"
"FUN_001238-T1","FUN_001238","4 Length: 355","TSC22 domain family protein 1-like [Acropora muricata]","XP_067041504.1",355,"FILIP1LP1",36.842,"Q9EQN3"
"FUN_001248-T1","FUN_001248","Length:1104","Importin-5 [Acropora cervicornis]","KAK2573809.1",889,"IPO5",57.234,"O00410"
"FUN_001260-T1","FUN_001260","Length:1956","DNA-directed RNA polymerase II subunit RPB1 [Acropora cervicornis]","KAK2573588.1",1936,"POLR2A",66.546,"P04052"
"FUN_001261-T1","FUN_001261","Length:112","hypothetical protein","",NA,NA,53.488,"Q5M9I5"
"FUN_001262-T1","FUN_001262","Length:969","Coiled-coil domain-containing protein 39 [Acropora cervicornis]","KAK2573594.1",509,"ZBTB39",52.088,"Q0V9R4"
"FUN_001264-T1","FUN_001264","Length:178","AP-1 complex subunit sigma-2-like isoform X3 [Montipora foliosa]","XP_068686807.1",157,"ATP6V1A2",82.051,"P56377"
"FUN_001271-T1","FUN_001271","Length:505","Arylsulfatase B [Acropora cervicornis]","KAK2573820.1",461,"ARSB",48.419,"P50429"
"FUN_001272-T1","FUN_001272","Length:307","Phospholipid scramblase 2, partial [Acropora cervicornis]","KAK2573444.1",309,"PLSCR2",62.057,"Q3ZBG9"
"FUN_001282-T1","FUN_001282","Length:257","DCN1-like protein 1 [Acropora cervicornis]","KAK2573436.1",343,"MAPK1IP1L",67.442,"Q96GG9"
"FUN_001285-T1","FUN_001285","Length:220","Protein CWC15-like protein A [Acropora cervicornis]","KAK2573674.1",248,"GPRASP1",66.957,"Q6NUB2"
"FUN_001287-T1","FUN_001287","Length:3707","E3 SUMO-protein ligase RanBP2 [Acropora cervicornis]","KAK2573677.1",3625,"RBCK1",29.373,"H2QII6"
"FUN_001288-T1","FUN_001288","Length:269","PREDICTED: uncharacterized protein LOC107336116 [Acropora digitifera]","XP_015756660.1",269,"PLGRKT",27.778,"I1GTC2"
"FUN_001289-T1","FUN_001289","Length:717","DNA replication licensing factor mcm7-A [Acropora cervicornis]","KAK2573671.1",718,"CDT1",75.035,"Q6NX31"
"FUN_001291-T1","FUN_001291","Length:342","hypothetical protein P5673_001353 [Acropora cervicornis]","KAK2573670.1",601,NA,27.885,"G5ECQ2"
"FUN_001293-T1","FUN_001293","Length:372","hypothetical protein P5673_001355 [Acropora cervicornis]","KAK2573672.1",394,NA,27.273,"O54858"
"FUN_001294-T1","FUN_001294","Length:792","hypothetical protein P5673_001352 [Acropora cervicornis]","KAK2573669.1",722,NA,27.778,"Q9BY79"
"FUN_001295-T1","FUN_001295","Length:665","uncharacterized protein [Acropora muricata]","XP_067039158.1",635,"GPRASP1",31.016,"P10547"
"FUN_001296-T1","FUN_001296","Length:379","hypothetical protein P5673_000919 [Acropora cervicornis]","KAK2573280.1",432,NA,32.203,"O93274"
"FUN_001297-T1","FUN_001297","Length:419","hypothetical protein P5673_000919 [Acropora cervicornis]","KAK2573280.1",432,NA,30.508,"O93274"
"FUN_001298-T1","FUN_001298","Length:854","uncharacterized protein [Acropora muricata]","XP_067039155.1",862,"GPRASP1",31.206,"Q9Y5Q5"
"FUN_001310-T1","FUN_001310","Length: 362","replication factor C subunit 4-like [Acropora muricata]","XP_067056698.1",362,"XRCC4L",65.47,"P35249"
"FUN_001315-T1","FUN_001315","Length: 83",NA,"",NA,"ATP1A1",48.148,"Q21313"
"FUN_001316-T1","FUN_001316","Length: 254","General transcription factor IIF subunit 2 [Acropora cervicornis]","KAK2573755.1",225,"GTF2F2P2",49.421,"Q8R0A0"
"FUN_001318-T1","FUN_001318","Length:127","Profilin-2 [Acropora cervicornis]","KAK2573753.1",77,"PFN1P2",44.615,"P19984"
"FUN_001319-T1","FUN_001319","Length:376","E3 ubiquitin-protein ligase RNF13 [Acropora cervicornis]","KAK2573741.1",229,"TRIM32",38.983,"Q90972"
"FUN_001320-T1","FUN_001320","Length:377","nucleoside diphosphate kinase homolog 7-like [Acropora muricata]","XP_067037530.1",377,"NME1",57.641,"Q9Y5B8"
"FUN_001322-T1","FUN_001322","Length:711","Long-chain-fatty-acid--CoA ligase 4 [Acropora cervicornis]","KAK2573758.1",711,"HECTD4",53.683,"O35547"
"FUN_001323-T1","FUN_001323","Length:208","ras-related protein Rab-6A isoform X2 [Exaiptasia diaphana]","XP_020908833.1",208,"ATP6V1A2",86.341,"P35279"
"FUN_001325-T1","FUN_001325","Length:332","Calcium-binding protein 39 [Acropora cervicornis]","KAK2573336.1",310,"CAB39",66.967,"Q29RI6"
"FUN_001326-T1","FUN_001326","Length:669","uncharacterized protein [Acropora muricata]","XP_067037443.1",654,"GPRASP1",39.823,"Q498S8"
"FUN_001327-T1","FUN_001327","Length:303","GPALPP motifs-containing protein 1 [Acropora cervicornis]","KAK2573895.1",303,"GPALPP1",45.076,"Q5R863"
"FUN_001328-T1","FUN_001328","Length:135","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4, partial [Acropora cervicornis]","KAK2573894.1",94,"PIN4",81.373,"Q503Y7"
"FUN_001330-T1","FUN_001330","Length:619","Sodium-coupled monocarboxylate transporter 1 [Acropora cervicornis]","KAK2573337.1",369,"SLC16A1",43.322,"Q8N695"
"FUN_001334-T1","FUN_001334","Length: 115","ragulator complex protein LAMTOR4 homolog [Acropora millepora]","XP_029190222.2",97,"GID4",64.835,"A7S6M8"
"FUN_001340-T1","FUN_001340","Length:278","Sodium/potassium-transporting ATPase subunit beta-3 [Acropora cervicornis]","KAK2573844.1",253,NA,28.041,"P08251"
"FUN_001341-T1","FUN_001341","Length: 2476","Cilia- and flagella-associated protein 44 [Acropora cervicornis]","KAK2573843.1",2476,"CFAP44",41.756,"Q96MT7"
"FUN_001344-T1","FUN_001344","Length: 427","PREDICTED: leukocyte elastase inhibitor-like [Acropora digitifera]","XP_015753884.1",439,"DBIL3",34.336,"B2KI30"
"FUN_001346-T1","FUN_001346","Length: 833","rho guanine nucleotide exchange factor 7-like isoform X1 [Acropora millepora]","XP_029185873.2",850,"ALS2",39.792,"Q14155"
"FUN_001347-T1","FUN_001347","Length: 775","Arf-GAP domain and FG repeat-containing protein 1 [Acropora cervicornis]","KAK2573728.1",785,"ITFG1",40.909,"Q2TA45"
"FUN_001348-T1","FUN_001348","Length: 813","Tyrosine-protein kinase HTK16 [Acropora cervicornis]","KAK2573725.1",813,"MAP4K1",50.25,"P53356"
"FUN_001351-T1","FUN_001351","7 Length: 486","Golgin-45 [Acropora cervicornis]","KAK2573724.1",470,NA,31.579,"Q8R2X8"
"FUN_001353-T1","FUN_001353","8 Length: 494","Beta-galactosidase-1-like protein 2 [Acropora cervicornis]","KAK2573720.1",227,"CDK2AP2P2",41.165,"Q8IW92"
"FUN_001355-T1","FUN_001355","9 Length: 406","PREDICTED: transcriptional coactivator YAP1-like [Acropora digitifera]","XP_015753743.1",406,"EYA1",37.885,"Q1L8J7"
"FUN_001356-T1","FUN_001356","0 Length: 230","Cilia- and flagella-associated protein 300 [Acropora cervicornis]","KAK2573313.1",196,"CFAP300",49.603,"Q5I0R4"
"FUN_001358-T1","FUN_001358","1 Length: 317","Integrator complex subunit 4 [Acropora cervicornis]","KAK2573312.1",1190,"INTS4",63.407,"A6QQ21"
"FUN_001369-T1","FUN_001369","2 Length: 541","transcription factor Dp-1-like [Acropora millepora]","XP_029189124.1",541,"INSAF",56.589,"Q14186"
"FUN_001370-T1","FUN_001370","3 Length: 1259","Tripeptidyl-peptidase 2 [Acropora cervicornis]","KAK2573431.1",554,"A12M2",51.317,"P29144"
"FUN_001376-T1","FUN_001376","4 Length: 281","lys-63-specific deubiquitinase BRCC36-like [Acropora muricata]","XP_067054904.1",281,"MINDY1",56.554,"A0A8M3B525"
"FUN_001381-T1","FUN_001381","5 Length: 315","Ras-related GTP-binding protein A, partial [Acropora cervicornis]","KAK2573419.1",310,"MTG1",86.218,"Q3SX43"
"FUN_001389-T1","FUN_001389","6 Length: 255","Electron transfer flavoprotein subunit beta [Acropora cervicornis]","KAK2573649.1",289,"ETFB",69.17,"P38117"
"FUN_001391-T1","FUN_001391","7 Length: 279","Intraflagellar transport protein 46-like protein [Acropora cervicornis]","KAK2573651.1",395,"IFTAP",52.564,"A7MBP4"
"FUN_001392-T1","FUN_001392","8 Length: 389","Eukaryotic initiation factor 4A-III [Acropora cervicornis]","KAK2553758.1",384,"EIF4ENIF1",83.59,"P10630"
"FUN_001394-T1","FUN_001394","9 Length: 703","uncharacterized protein LOC114954053 [Acropora millepora]","XP_029186359.2",661,"GPRASP1",26.866,"Q18DN4"
"FUN_001395-T1","FUN_001395","0 Length: 317","Ubiquitin-like-conjugating enzyme ATG3 [Acropora cervicornis]","KAK2573654.1",278,"UBE2DNL",67.391,"Q6GQE7"
"FUN_001396-T1","FUN_001396","1 Length: 1336","Protein FORGETTER 1 [Acropora cervicornis]","KAK2573656.1",1011,"IRAK1BP1",41.276,"F4IF36"
"FUN_001402-T1","FUN_001402","2 Length: 448","hypothetical protein P5673_001252 [Acropora cervicornis]","KAK2573582.1",425,NA,34.653,"Q8IDX6"
"FUN_001403-T1","FUN_001403","3 Length: 409","hypothetical protein P5673_001251 [Acropora cervicornis]","KAK2573581.1",744,NA,20.833,"A9BBQ7"
"FUN_001404-T1","FUN_001404","4 Length: 276","uncharacterized protein LOC114954046 [Acropora millepora]","XP_029186347.2",276,"GPRASP1",29.808,"B8I442"
"FUN_001406-T1","FUN_001406","5 Length: 753","Cullin-3 [Acropora cervicornis]","KAK2573576.1",696,"CUL3",75.459,"B5DF89"
"FUN_001409-T1","FUN_001409","6 Length: 416","hypothetical protein pdam_00001353 [Pocillopora damicornis]","RMX42053.1",421,NA,81.188,"P49841"
"FUN_001420-T1","FUN_001420","7 Length: 1560","hypothetical protein P5673_001436 [Acropora cervicornis]","KAK2573747.1",1560,NA,26.182,"Q6AW69"
"FUN_001423-T1","FUN_001423","8 Length: 164","60S ribosomal protein L35a [Acropora cervicornis]","KAK2573742.1",106,"RPL35A",53.704,"Q90YT3"
"FUN_001425-T1","FUN_001425","9 Length: 306","transcription initiation factor TFIID subunit 9B-like [Acropora millepora]","XP_029189839.2",306,"BTAF1",52.973,"Q5R7P7"
"FUN_001426-T1","FUN_001426","0 Length: 281","Mediator of RNA polymerase II transcription subunit 4 [Acropora cervicornis]","KAK2573328.1",248,"MED4",49.714,"Q5XG48"
"FUN_001428-T1","FUN_001428","1 Length: 752","Disks large-like protein 1 [Acropora cervicornis]","KAK2573330.1",697,"RPLP1L1",59.552,"A0A8C0TYJ0"
"FUN_001429-T1","FUN_001429","2 Length: 392","26S proteasome regulatory subunit 8 [Acropora cervicornis]","KAK2561358.1",414,"PSMC1P8",88.571,"P62333"
"FUN_001435-T1","FUN_001435","3 Length: 1113","centrobin-like isoform X1 [Acropora millepora]","XP_044180646.1",1123,"ATP6V1A2",32.661,"Q8N137"
"FUN_001436-T1","FUN_001436","4 Length: 141","Trafficking protein particle complex subunit 1, partial [Acropora cervicornis]","KAK2573331.1",192,"TRAPPC1",63.121,"Q2KMM2"
"FUN_001437-T1","FUN_001437","5 Length: 267","Lysosome-associated membrane glycoprotein 1 [Acropora cervicornis]","KAK2573249.1",252,"PSG1",26.257,"P05300"
"FUN_001438-T1","FUN_001438","6 Length: 415","Mucin-4 [Acropora cervicornis]","KAK2573248.1",344,"MUC4",32.117,"P05300"
"FUN_001439-T1","FUN_001439","7 Length: 423","Lysosome-associated membrane glycoprotein 1, partial [Acropora cervicornis]","KAK2573247.1",453,"PSG1",31.502,"P05300"
"FUN_001442-T1","FUN_001442","8 Length: 168","ubiquitin-fold modifier-conjugating enzyme 1 [Xenia sp. Carnegie-2017]","XP_046854472.1",167,"UFC1",88.024,"A7SM54"
"FUN_001451-T1","FUN_001451","9 Length: 561","autophagy-related protein 16-1-like isoform X2 [Acropora millepora]","XP_029186778.2",561,"ATP6V1A2",39.737,"Q8C0J2"
"FUN_001452-T1","FUN_001452","0 Length: 316","PREDICTED: phosphoglycolate phosphatase-like [Acropora digitifera]","XP_015759574.1",312,"PTPLC",46.026,"Q8CHP8"
"FUN_001453-T1","FUN_001453","1 Length: 487","Beta-secretase 1 [Acropora cervicornis]","KAK2573732.1",549,"A12M1",47.674,"Q2HJ40"
"FUN_001454-T1","FUN_001454","2 Length: 1815","von Willebrand factor A domain-containing protein 8-like [Acropora muricata]","XP_067035035.1",1889,"SVEP1",55.628,"A3KMH1"
"FUN_001461-T1","FUN_001461","3 Length: 993","integrator complex subunit 6-like [Acropora millepora]","XP_029188398.2",1014,"INTS6L",37.172,"Q5JSJ4"
"FUN_001464-T1","FUN_001464","4 Length: 154","Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3 [Acropora cervicornis]","KAK2573517.1",177,NA,40.171,"Q9D0B5"
"FUN_001467-T1","FUN_001467","5 Length: 4499","Dynein axonemal heavy chain 6 [Acropora cervicornis]","KAK2571028.1",3274,"DNAH6",70.579,"P0C6F1"
"FUN_001469-T1","FUN_001469","6 Length: 200","neurocalcin homolog [Acropora palmata]","XP_074633490.1",200,"ACCS",56.684,"P42325"
"FUN_001471-T1","FUN_001471","7 Length: 738","Transmembrane protein 164 [Acropora cervicornis]","KAK2573520.1",976,"TMEM164",43.119,"Q6ZMW2"
"FUN_001473-T1","FUN_001473","8 Length: 153","Diphosphoinositol polyphosphate phosphohydrolase 1 [Acropora cervicornis]","KAK2573514.1",148,"INPP1",55.714,"Q566C7"
"FUN_001476-T1","FUN_001476","9 Length: 3164","uncharacterized protein [Acropora muricata]","XP_067035023.1",3164,"GPRASP1",23.847,"Q90339"
"FUN_001479-T1","FUN_001479","0 Length: 1018","A disintegrin and metalloproteinase with thrombospondin motifs 18 [Acropora cervicornis]","KAK2573570.1",964,"ADAMTS18",30.825,"Q4VC17"
"FUN_001480-T1","FUN_001480","1 Length: 995","PREDICTED: uncharacterized protein LOC107339111 isoform X1 [Acropora digitifera]","XP_015759840.1",995,"ATP6V1A2",32.83,"Q4VSN1"
"FUN_001483-T1","FUN_001483","Length:612","Dual serine/threonine and tyrosine protein kinase [Acropora cervicornis]","KAK2573319.1",634,NA,31.559,"Q4VSN1"
"FUN_001484-T1","FUN_001484","Length:1285","A disintegrin and metalloproteinase with thrombospondin motifs 6 [Acropora cervicornis]","KAK2573320.1",2401,"ADAMTS6",26.673,"Q9UKP5"
"FUN_001486-T1","FUN_001486","Length:1099","A disintegrin and metalloproteinase with thrombospondin motifs 6 [Acropora cervicornis]","KAK2573738.1",1099,"ADAMTS6",29.119,"Q9UKP5"
"FUN_001491-T1","FUN_001491","Length:478","ADAMTS-like protein 1 [Acropora cervicornis]","KAK2573391.1",238,"MAPK1IP1L",35.854,"Q9UKP5"
"FUN_001495-T1","FUN_001495","Length:342","Macrophage scavenger receptor types I and II [Acropora cervicornis]","KAK2573796.1",336,"MSR1",40.441,"B5DF27"
"FUN_001497-T1","FUN_001497","Length:331","cAMP-dependent protein kinase catalytic subunit alpha [Acropora cervicornis]","KAK2569982.1",306,"PRKACA",66.561,"P16912"
"FUN_001499-T1","FUN_001499","Length:427","uncharacterized protein [Acropora muricata]","XP_067035844.1",427,"GPRASP1",27.442,"Q18973"
"FUN_001500-T1","FUN_001500","Length:5302","Dynein axonemal heavy chain 17 [Acropora cervicornis]","KAK2573802.1",5072,"DNAH17",27.448,"F1SC07"
"FUN_001501-T1","FUN_001501","Length:515","FAD synthase [Acropora cervicornis]","KAK2573887.1",515,"AASS",44.681,"Q8R123"
"FUN_001504-T1","FUN_001504","Length:313","rRNA 2'-O-methyltransferase fibrillarin [Acropora cervicornis]","KAK2573884.1",213,"FBL",86.726,"Q9W1V3"
"FUN_001505-T1","FUN_001505","Length:114","PREDICTED: ATP synthase subunit g, mitochondrial-like [Acropora digitifera]","XP_015760023.1",114,"ATP5MG",46.914,"O75964"
"FUN_001508-T1","FUN_001508","Length:469","beta-arrestin-1-like isoform X2 [Acropora millepora]","XP_029188326.1",434,"ATP6V1A2",61.881,"Q4R562"
"FUN_001512-T1","FUN_001512","Length:793","WASH complex subunit 2 [Acropora cervicornis]","KAK2573641.1",1886,"ARPC2",42.105,"Q80X08"
"FUN_001513-T1","FUN_001513","Length:1437","uncharacterized protein LOC114956651 [Acropora millepora]","XP_044180097.1",1476,"GPRASP1",32.715,"Q9HCK4"
"FUN_001516-T1","FUN_001516","Length:785","uncharacterized protein [Acropora muricata]","XP_067034984.1",785,"GPRASP1",21.308,"A2RU67"
"FUN_001518-T1","FUN_001518","Length:433","LOW QUALITY PROTEIN: probable ATP-dependent RNA helicase ddx6 [Acropora millepora]","XP_029188652.1",433,"HFM1",69.444,"P54823"
"FUN_001519-T1","FUN_001519","Length:442","PREDICTED: steroid hormone receptor ERR2-like isoform X1 [Acropora digitifera]","XP_015760131.1",450,"KIR3DX1",34.521,"Q5RAM2"
"FUN_001529-T1","FUN_001529","Length:351","ubiquitin carboxyl-terminal hydrolase isozyme L5-like isoform X1 [Acropora millepora]","XP_029212364.2",366,"UCHH2",61.143,"Q9WUP7"
"FUN_001533-T1","FUN_001533","Length:341","Torsin-1A-interacting protein 1 [Acropora cervicornis]","KAK2566020.1",305,"TOR1AIP1",30.802,"Q5PQX1"
"FUN_001537-T1","FUN_001537","2 Length: 317","Calumenin [Acropora cervicornis]","KAK2566024.1",599,"CALU",44.62,"Q3T0K1"
"FUN_001540-T1","FUN_001540","3 Length: 463","uncharacterized protein LOC114976981 [Acropora millepora]","XP_029213396.2",463,"GPRASP1",19.59,"Q9XI84"
"FUN_001544-T1","FUN_001544","4 Length: 123","60S ribosomal protein L35 [Acropora cervicornis]","KAK2565893.1",167,"MRPL35",77.869,"G1SIT5"
"FUN_001548-T1","FUN_001548","5 Length: 251","protein usf-like [Montipora capricornis]","XP_068734124.1",252,"GPRASP1",30.097,"P46209"
"FUN_001549-T1","FUN_001549","6 Length: 500","Calcium-binding mitochondrial carrier protein SCaMC-2 [Acropora cervicornis]","KAK2565891.1",529,"MPC1",58.37,"Q5XH95"
"FUN_001550-T1","FUN_001550","7 Length: 929","sarcosine dehydrogenase, mitochondrial-like [Acropora muricata]","XP_067056692.1",929,"TUFMP1",64.765,"Q64380"
"FUN_001554-T1","FUN_001554","8 Length: 194","Syntaxin-6 [Acropora cervicornis]","KAK2565781.1",247,"STX6",55.838,"O43752"
"FUN_001558-T1","FUN_001558","9 Length: 578","Long-chain fatty acid transport protein 4 [Acropora cervicornis]","KAK2565783.1",1196,"FABP4",47.595,"Q91VE0"
"FUN_001559-T1","FUN_001559","0 Length: 637","Long-chain fatty acid transport protein 4 [Acropora cervicornis]","KAK2565783.1",1196,"FABP4",45.016,"Q4R3Y4"
"FUN_001560-T1","FUN_001560","1 Length: 666","Long-chain fatty acid transport protein 4 [Acropora cervicornis]","KAK2565982.1",649,"FABP4",48.485,"Q4R3Y4"
"FUN_001565-T1","FUN_001565","2 Length: 297","Uricase [Acropora cervicornis]","KAK2565985.1",277,NA,46.154,"P11645"
"FUN_001578-T1","FUN_001578","3 Length: 507","26S proteasome non-ATPase regulatory subunit 5-like isoform X1 [Acropora muricata]","XP_067057465.1",545,"PSMD1",36.66,"Q0P5A6"
"FUN_001587-T1","FUN_001587","4 Length: 511","PREDICTED: uncharacterized protein LOC107344644 [Acropora digitifera]","XP_015765823.1",510,"PLGRKT",38.554,"O88843"
"FUN_001589-T1","FUN_001589","5 Length: 699","Tetratricopeptide repeat protein 28 [Acropora cervicornis]","KAK2561415.1",1543,"TTC28",31.003,"Q96AY4"
"FUN_001594-T1","FUN_001594","6 Length: 294","L-fucono-1,5-lactonase-like [Acropora muricata]","XP_067057450.1",238,NA,37.143,"P0DX22"
