ProteinID,GeneID,Query.Length,Description,SequenceID,Length,GeneSymbol,GeneSymbol2
FUN_001438-T1,FUN_001438,6 Length: 415,Mucin-4 [Acropora cervicornis],KAK2573248.1,344,MUC4,MUC4
FUN_001439-T1,FUN_001439,7 Length: 423,"Lysosome-associated membrane glycoprotein 1, partial [Acropora cervicornis]",KAK2573247.1,453,PSG1,PSG1
FUN_001442-T1,FUN_001442,8 Length: 168,ubiquitin-fold modifier-conjugating enzyme 1 [Xenia sp. Carnegie-2017],XP_046854472.1,167,UFC1,UFC1
FUN_001451-T1,FUN_001451,9 Length: 561,autophagy-related protein 16-1-like isoform X2 [Acropora millepora],XP_029186778.2,561,ATP6V1A2,ATP6V1A2
FUN_001452-T1,FUN_001452,0 Length: 316,PREDICTED: phosphoglycolate phosphatase-like [Acropora digitifera],XP_015759574.1,312,PTPLC,PTPLC
FUN_001453-T1,FUN_001453,1 Length: 487,Beta-secretase 1 [Acropora cervicornis],KAK2573732.1,549,A12M1,A12M1
FUN_001454-T1,FUN_001454,2 Length: 1815,von Willebrand factor A domain-containing protein 8-like [Acropora muricata],XP_067035035.1,1889,SVEP1,SVEP1
FUN_001461-T1,FUN_001461,3 Length: 993,integrator complex subunit 6-like [Acropora millepora],XP_029188398.2,1014,INTS6L,INTS6L
FUN_001464-T1,FUN_001464,4 Length: 154,Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3 [Acropora cervicornis],KAK2573517.1,177,NA,NA
FUN_001467-T1,FUN_001467,5 Length: 4499,Dynein axonemal heavy chain 6 [Acropora cervicornis],KAK2571028.1,3274,DNAH6,DNAH6
FUN_001469-T1,FUN_001469,6 Length: 200,neurocalcin homolog [Acropora palmata],XP_074633490.1,200,ACCS,ACCS
FUN_001471-T1,FUN_001471,7 Length: 738,Transmembrane protein 164 [Acropora cervicornis],KAK2573520.1,976,TMEM164,TMEM164
FUN_001473-T1,FUN_001473,8 Length: 153,Diphosphoinositol polyphosphate phosphohydrolase 1 [Acropora cervicornis],KAK2573514.1,148,INPP1,INPP1
FUN_001476-T1,FUN_001476,9 Length: 3164,uncharacterized protein [Acropora muricata],XP_067035023.1,3164,GPRASP1,GPRASP1
FUN_001479-T1,FUN_001479,0 Length: 1018,A disintegrin and metalloproteinase with thrombospondin motifs 18 [Acropora cervicornis],KAK2573570.1,964,ADAMTS18,ADAMTS18
FUN_001480-T1,FUN_001480,1 Length: 995,PREDICTED: uncharacterized protein LOC107339111 isoform X1 [Acropora digitifera],XP_015759840.1,995,ATP6V1A2,ATP6V1A2
FUN_001483-T1,FUN_001483,Length:612,Dual serine/threonine and tyrosine protein kinase [Acropora cervicornis],KAK2573319.1,634,NA,NA
FUN_001484-T1,FUN_001484,Length:1285,A disintegrin and metalloproteinase with thrombospondin motifs 6 [Acropora cervicornis],KAK2573320.1,2401,ADAMTS6,ADAMTS6
FUN_001486-T1,FUN_001486,Length:1099,A disintegrin and metalloproteinase with thrombospondin motifs 6 [Acropora cervicornis],KAK2573738.1,1099,ADAMTS6,ADAMTS6
FUN_001491-T1,FUN_001491,Length:478,ADAMTS-like protein 1 [Acropora cervicornis],KAK2573391.1,238,MAPK1IP1L,MAPK1IP1L
FUN_001495-T1,FUN_001495,Length:342,Macrophage scavenger receptor types I and II [Acropora cervicornis],KAK2573796.1,336,MSR1,MSR1
FUN_001497-T1,FUN_001497,Length:331,cAMP-dependent protein kinase catalytic subunit alpha [Acropora cervicornis],KAK2569982.1,306,PRKACA,PRKACA
FUN_001499-T1,FUN_001499,Length:427,uncharacterized protein [Acropora muricata],XP_067035844.1,427,GPRASP1,GPRASP1
FUN_001500-T1,FUN_001500,Length:5302,Dynein axonemal heavy chain 17 [Acropora cervicornis],KAK2573802.1,5072,DNAH17,DNAH17
FUN_001501-T1,FUN_001501,Length:515,FAD synthase [Acropora cervicornis],KAK2573887.1,515,AASS,AASS
FUN_001504-T1,FUN_001504,Length:313,rRNA 2'-O-methyltransferase fibrillarin [Acropora cervicornis],KAK2573884.1,213,FBL,FBL
FUN_001505-T1,FUN_001505,Length:114,"PREDICTED: ATP synthase subunit g, mitochondrial-like [Acropora digitifera]",XP_015760023.1,114,ATP5MG,ATP5MG
FUN_001508-T1,FUN_001508,Length:469,beta-arrestin-1-like isoform X2 [Acropora millepora],XP_029188326.1,434,ATP6V1A2,ATP6V1A2
FUN_001512-T1,FUN_001512,Length:793,WASH complex subunit 2 [Acropora cervicornis],KAK2573641.1,1886,ARPC2,ARPC2
FUN_001513-T1,FUN_001513,Length:1437,uncharacterized protein LOC114956651 [Acropora millepora],XP_044180097.1,1476,GPRASP1,GPRASP1
FUN_001516-T1,FUN_001516,Length:785,uncharacterized protein [Acropora muricata],XP_067034984.1,785,GPRASP1,GPRASP1
FUN_001518-T1,FUN_001518,Length:433,LOW QUALITY PROTEIN: probable ATP-dependent RNA helicase ddx6 [Acropora millepora],XP_029188652.1,433,HFM1,HFM1
FUN_001519-T1,FUN_001519,Length:442,PREDICTED: steroid hormone receptor ERR2-like isoform X1 [Acropora digitifera],XP_015760131.1,450,KIR3DX1,KIR3DX1
FUN_001529-T1,FUN_001529,Length:351,ubiquitin carboxyl-terminal hydrolase isozyme L5-like isoform X1 [Acropora millepora],XP_029212364.2,366,UCHH2,UCHH2
FUN_001533-T1,FUN_001533,Length:341,Torsin-1A-interacting protein 1 [Acropora cervicornis],KAK2566020.1,305,TOR1AIP1,TOR1AIP1
FUN_001537-T1,FUN_001537,2 Length: 317,Calumenin [Acropora cervicornis],KAK2566024.1,599,CALU,CALU
FUN_001540-T1,FUN_001540,3 Length: 463,uncharacterized protein LOC114976981 [Acropora millepora],XP_029213396.2,463,GPRASP1,GPRASP1
FUN_001544-T1,FUN_001544,4 Length: 123,60S ribosomal protein L35 [Acropora cervicornis],KAK2565893.1,167,MRPL35,MRPL35
FUN_001548-T1,FUN_001548,5 Length: 251,protein usf-like [Montipora capricornis],XP_068734124.1,252,GPRASP1,GPRASP1
FUN_001549-T1,FUN_001549,6 Length: 500,Calcium-binding mitochondrial carrier protein SCaMC-2 [Acropora cervicornis],KAK2565891.1,529,MPC1,MPC1
FUN_001550-T1,FUN_001550,7 Length: 929,"sarcosine dehydrogenase, mitochondrial-like [Acropora muricata]",XP_067056692.1,929,TUFMP1,TUFMP1
FUN_001554-T1,FUN_001554,8 Length: 194,Syntaxin-6 [Acropora cervicornis],KAK2565781.1,247,STX6,STX6
FUN_001558-T1,FUN_001558,9 Length: 578,Long-chain fatty acid transport protein 4 [Acropora cervicornis],KAK2565783.1,1196,FABP4,FABP4
FUN_001559-T1,FUN_001559,0 Length: 637,Long-chain fatty acid transport protein 4 [Acropora cervicornis],KAK2565783.1,1196,FABP4,FABP4
FUN_001560-T1,FUN_001560,1 Length: 666,Long-chain fatty acid transport protein 4 [Acropora cervicornis],KAK2565982.1,649,FABP4,FABP4
FUN_001565-T1,FUN_001565,2 Length: 297,Uricase [Acropora cervicornis],KAK2565985.1,277,NA,NA
FUN_001578-T1,FUN_001578,3 Length: 507,26S proteasome non-ATPase regulatory subunit 5-like isoform X1 [Acropora muricata],XP_067057465.1,545,PSMD1,PSMD1
FUN_001587-T1,FUN_001587,4 Length: 511,PREDICTED: uncharacterized protein LOC107344644 [Acropora digitifera],XP_015765823.1,510,PLGRKT,PLGRKT
FUN_001589-T1,FUN_001589,5 Length: 699,Tetratricopeptide repeat protein 28 [Acropora cervicornis],KAK2561415.1,1543,TTC28,TTC28
FUN_001594-T1,FUN_001594,6 Length: 294,"L-fucono-1,5-lactonase-like [Acropora muricata]",XP_067057450.1,238,NA,NA
FUN_001607-T1,FUN_001607,7 Length: 534,Phosphatidylserine lipase ABHD16A [Acropora cervicornis],KAK2565829.1,493,ABHD16A,ABHD16A
FUN_001608-T1,FUN_001608,8 Length: 2106,laminin subunit gamma-1-like [Acropora millepora],XP_044175181.1,2107,GGTL1,GGTL1
FUN_001620-T1,FUN_001620,9 Length: 721,PREDICTED: actin-related protein 5-like [Acropora digitifera],XP_015765936.1,684,ARPC5L,ARPC5L
FUN_001623-T1,FUN_001623,0 Length: 170,small ribosomal subunit protein uS13 isoform X2 [Acropora palmata],XP_074616230.1,170,ATP6V1A2,ATP6V1A2
FUN_001625-T1,FUN_001625,1 Length: 351,LOW QUALITY PROTEIN: endophilin-A2-like [Acropora millepora],XP_044174864.1,351,SH3GL1,SH3GL1
FUN_001628-T1,FUN_001628,2 Length: 712,Disintegrin and metalloproteinase domain-containing protein 10 [Acropora cervicornis],KAK2566053.1,682,VSX2,VSX2
FUN_001630-T1,FUN_001630,3 Length: 183,Clathrin light chain A [Acropora cervicornis],KAK2566017.1,255,CLTA,CLTA
FUN_001631-T1,FUN_001631,4 Length: 113,mitochondrial import inner membrane translocase subunit TIM14-like [Porites lutea],XP_073243087.1,112,TIMM8A,TIMM8A
FUN_001640-T1,FUN_001640,5 Length: 582,Syntaxin-binding protein 1 [Acropora cervicornis],KAK2565802.1,442,MAPK1IP1L,MAPK1IP1L
FUN_001644-T1,FUN_001644,6 Length: 162,peptidyl-prolyl cis-trans isomerase-like 1 [Acropora millepora],XP_029182347.2,162,PIN1L2,PIN1L2
FUN_001648-T1,FUN_001648,7 Length: 600,CAP-Gly domain-containing linker protein 3-like isoform X1 [Acropora muricata],XP_067058135.1,781,CLIP1,CLIP1
FUN_001651-T1,FUN_001651,8 Length: 468,Senecionine N-oxygenase [Acropora cervicornis],KAK2565759.1,454,NA,NA
FUN_001653-T1,FUN_001653,9 Length: 452,Senecionine N-oxygenase [Acropora cervicornis],KAK2565760.1,818,NA,NA
FUN_001654-T1,FUN_001654,0 Length: 453,Senecionine N-oxygenase [Acropora cervicornis],KAK2565760.1,818,NA,NA
FUN_001655-T1,FUN_001655,1 Length: 529,caspase 8 [Acropora millepora],AJG36591.1,527,HSPA8P8,HSPA8P8
FUN_001656-T1,FUN_001656,2 Length: 307,60S ribosomal protein L5 [Acropora cervicornis],KAK2565889.1,344,RPL5,RPL5
FUN_001657-T1,FUN_001657,3 Length: 1480,coiled-coil domain-containing protein 18-like [Acropora millepora],XP_044175551.1,1655,LCP2,LCP2
FUN_001662-T1,FUN_001662,4 Length: 304,proline and serine-rich protein 1-like [Acropora millepora],XP_044175583.1,265,FILIP1LP1,FILIP1LP1
FUN_001663-T1,FUN_001663,5 Length: 117,PREDICTED: V-type proton ATPase subunit G-like [Acropora digitifera],XP_015756321.1,121,EXOG,EXOG
FUN_001664-T1,FUN_001664,6 Length: 1546,A disintegrin and metalloproteinase with thrombospondin motifs 16 [Acropora cervicornis],KAK2565844.1,1440,ADAMTS16,ADAMTS16
FUN_001666-T1,FUN_001666,7 Length: 1390,C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8 [Acropora cervicornis],KAK2565842.1,1497,CPAMD8,CPAMD8
FUN_001669-T1,FUN_001669,8 Length: 153,Chitin-binding domain protein cbd-1 [Acropora cervicornis],KAK2565969.1,144,AARD,AARD
FUN_001671-T1,FUN_001671,9 Length: 974,Serine/threonine-protein kinase N1 [Acropora cervicornis],KAK2565970.1,1363,NA,NA
FUN_001674-T1,FUN_001674,0 Length: 478,Adenylate kinase 8 [Acropora cervicornis],KAK2565973.1,361,MAP3K8,MAP3K8
FUN_001677-T1,FUN_001677,1 Length: 205,uncharacterized protein LOC114950765 isoform X1 [Acropora millepora],XP_029182738.2,209,ATP6V1A2,ATP6V1A2
FUN_001681-T1,FUN_001681,2 Length: 137,Protein CutA-like protein [Acropora cervicornis],KAK2565850.1,137,CUTALP,CUTALP
FUN_001683-T1,FUN_001683,3 Length: 790,Low-density lipoprotein receptor-related protein 4 [Acropora cervicornis],KAK2565853.1,1685,LRP4,LRP4
FUN_001687-T1,FUN_001687,4 Length: 2178,Low-density lipoprotein receptor-related protein 6 [Acropora cervicornis],KAK2566071.1,1491,LRP6,LRP6
FUN_001690-T1,FUN_001690,5 Length: 850,Prominin-1 [Acropora cervicornis],KAK2566074.1,457,PROM1,PROM1
FUN_001700-T1,FUN_001700,6 Length: 423,kynurenine--oxoglutarate transaminase 3-like isoform X2 [Acropora muricata],XP_067058100.1,423,ATP6V1A2,ATP6V1A2
FUN_001703-T2,FUN_001703,Length:2307,Hemicentin-1 [Acropora cervicornis],KAK2565940.1,2344,HMCN1,HMCN1
FUN_001704-T1,FUN_001704,17 Length: 151,NA,,NA,ATP1A1,ATP1A1
FUN_001715-T1,FUN_001715,Length: 394,hypothetical protein P5673_010371 [Acropora cervicornis],KAK2566045.1,1282,NA,NA
FUN_001716-T1,FUN_001716,Length: 752,hypothetical protein P5673_033654 [Acropora cervicornis],KAK2546720.1,974,NA,NA
FUN_001718-T1,FUN_001718,Length: 581,hypothetical protein P5673_010371 [Acropora cervicornis],KAK2566045.1,1282,NA,NA
FUN_001719-T1,FUN_001719,Length: 345,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 [Acropora cervicornis],KAK2566043.1,307,AIMP1P1,AIMP1P1
FUN_001724-T1,FUN_001724,Length: 416,AP-3 complex subunit mu-1 [Acropora cervicornis],KAK2566040.1,425,AP1M1,AP1M1
FUN_001734-T1,FUN_001734,Length: 264,PREDICTED: uridine-cytidine kinase 2-A-like isoform X1 [Acropora digitifera],XP_015753270.1,268,UCK1,UCK1
FUN_001747-T1,FUN_001747,Length: 994,hypothetical protein P5673_010105 [Acropora cervicornis],KAK2565825.1,453,NA,NA
FUN_001751-T1,FUN_001751,Length: 379,BRO1 domain-containing protein BROX [Acropora cervicornis],KAK2565828.1,246,LCP2,LCP2
FUN_001755-T1,FUN_001755,Length: 217,"Ras-related protein Rab-14, partial [Acropora cervicornis]",KAK2565879.1,211,LGI1,LGI1
FUN_001756-T1,FUN_001756,Length: 1336,EH domain-binding protein 1 [Acropora cervicornis],KAK2565876.1,967,EHBP1L1,EHBP1L1
FUN_001757-T1,FUN_001757,Length: 1219,Tetratricopeptide repeat protein 28 [Acropora cervicornis],KAK2565881.1,1453,TTC28,TTC28
FUN_001758-T1,FUN_001758,Length: 274,Proteasome subunit beta type-7 [Acropora cervicornis],KAK2565882.1,240,PSMB7,PSMB7
FUN_001759-T1,FUN_001759,Length: 289,"Serine/threonine-protein kinase Nek7, partial [Acropora cervicornis]",KAK2565880.1,271,NA,NA
FUN_001760-T1,FUN_001760,Length: 995,Uncharacterized protein P5673_010433 [Acropora cervicornis],KAK2566092.1,902,GPRASP1,GPRASP1
FUN_001768-T1,FUN_001768,Length: 1376,Collagen alpha-2(I) chain [Acropora cervicornis],KAK2565997.1,880,COL1A2,COL1A2
FUN_001778-T1,FUN_001778,Length: 715,hypothetical protein P5673_014050 [Acropora cervicornis],KAK2563041.1,619,NA,NA
FUN_001781-T1,FUN_001781,Length: 781,uncharacterized protein [Acropora muricata],XP_067056665.1,781,GPRASP1,GPRASP1
FUN_001782-T1,FUN_001782,Length: 405,PREDICTED: betaine--homocysteine S-methyltransferase 1-like [Acropora digitifera],XP_015760872.1,405,BHMT,BHMT
FUN_001796-T1,FUN_001796,Length: 628,Heat shock cognate 71 kDa protein [Acropora cervicornis],KAK2562815.1,673,RPL7AP71,RPL7AP71
FUN_001798-T1,FUN_001798,Length: 617,PREDICTED: heat shock cognate 71 kDa protein-like [Acropora digitifera],XP_015753976.1,617,HSPBL1,HSPBL1
FUN_001799-T1,FUN_001799,Length: 533,5'-nucleotidase domain-containing protein 3 [Acropora cervicornis],KAK2563002.1,291,ISM2,ISM2
FUN_001800-T1,FUN_001800,Length:653,PREDICTED: heat shock cognate 71 kDa protein-like [Acropora digitifera],XP_015753981.1,659,HSPBL1,HSPBL1
FUN_001802-T1,FUN_001802,Length: 653,PREDICTED: heat shock cognate 71 kDa protein-like [Acropora digitifera],XP_015753981.1,659,HSPBL1,HSPBL1
FUN_001807-T1,FUN_001807,Length: 457,uncharacterized protein [Acropora muricata],XP_067016228.1,457,GPRASP1,GPRASP1
FUN_001809-T1,FUN_001809,Length: 246,PREDICTED: 40S ribosomal protein S6-like [Acropora digitifera],XP_015753989.1,215,RPS6KL1,RPS6KL1
FUN_001822-T1,FUN_001822,Length: 169,Molybdopterin synthase catalytic subunit [Acropora cervicornis],KAK2563046.1,131,G6PC1,G6PC1
FUN_001823-T1,FUN_001823,Length: 94,molybdopterin synthase sulfur carrier subunit-like [Acropora palmata],XP_074618941.1,94,OSTCP1,OSTCP1
FUN_001825-T1,FUN_001825,Length: 512,follistatin-A-like isoform X4 [Acropora muricata],XP_067056648.1,446,ATP6V1A2,ATP6V1A2
FUN_001826-T1,FUN_001826,Length: 415,Bifunctional peptidase and arginyl-hydroxylase JMJD5 [Acropora cervicornis],KAK2562867.1,333,KDM8,KDM8
FUN_001827-T1,FUN_001827,Length: 1668,Centromere-associated protein E [Acropora cervicornis],KAK2562861.1,1395,CENPE,CENPE
FUN_001833-T1,FUN_001833,Length: 242,Tropomyosin [Acropora cervicornis],KAK2562974.1,125,TPM1,TPM1
FUN_001834-T1,FUN_001834,Length: 242,tropomyosin alpha-4 chain-like [Acropora millepora],XP_029196579.1,242,CLTCL1,CLTCL1
FUN_001836-T1,FUN_001836,Length: 156,PREDICTED: DNA-directed RNA polymerase II subunit RPB11-a-like [Acropora digitifera],XP_015754018.1,117,REV3L,REV3L
FUN_001838-T1,FUN_001838,Length: 253,RING finger protein 150 [Acropora cervicornis],KAK2567878.1,401,RNF150,RNF150
FUN_001855-T1,FUN_001855,Length: 699,Peptidyl-glycine alpha-amidating monooxygenase [Acropora cervicornis],KAK2563008.1,424,PAM,PAM
FUN_001856-T1,FUN_001856,Length: 302,peptidyl-prolyl cis-trans isomerase E-like [Acropora muricata],XP_067056824.1,297,PIN1,PIN1
FUN_001858-T1,FUN_001858,Length: 184,Transducin-like enhancer protein 3-B [Acropora cervicornis],KAK2562948.1,860,HSP90AB3P,HSP90AB3P
FUN_001875-T1,FUN_001875,Length:364,uncharacterized protein LOC114953848 isoform X2 [Acropora millepora],XP_029186078.2,364,ATP6V1A2,ATP6V1A2
FUN_001881-T1,FUN_001881,Length:314,Calumenin-A [Acropora cervicornis],KAK2562795.1,250,NA,NA
FUN_001882-T1,FUN_001882,Length:287,calumenin-like [Acropora millepora],XP_029186072.2,287,NA,NA
FUN_001883-T1,FUN_001883,Length:276,Calumenin-B [Acropora cervicornis],KAK2562797.1,255,NA,NA
FUN_001891-T1,FUN_001891,Length:158,osteoclast-stimulating factor 1-like [Orbicella faveolata],XP_020621356.1,211,MTRF1LP1,MTRF1LP1
FUN_001893-T1,FUN_001893,Length:451,hypothetical protein P5673_013890 [Acropora cervicornis],KAK2562915.1,293,NA,NA
FUN_001895-T1,FUN_001895,Length:371,PREDICTED: nuclear receptor subfamily 2 group F member 1-B-like [Acropora digitifera],XP_015763932.1,447,NR2F2,NR2F2
FUN_001895-T2,FUN_001895,Length:450,PREDICTED: nuclear receptor subfamily 2 group F member 1-B-like [Acropora digitifera],XP_015763932.1,447,NR2F2,NR2F2
FUN_001905-T1,FUN_001905,Length:167,Lariat debranching enzyme A [Acropora cervicornis],KAK2562849.1,609,DBR1,DBR1
FUN_001907-T1,FUN_001907,Length:462,Mitochondrial import inner membrane translocase subunit TIM44 [Acropora cervicornis],KAK2562848.1,419,TIMM8A,TIMM8A
FUN_001910-T1,FUN_001910,Length:489,Collagen alpha-4(VI) chain [Acropora cervicornis],KAK2562842.1,364,COL6A4P1,COL6A4P1
FUN_001912-T1,FUN_001912,Length:198,Pyroglutamyl-peptidase 1 [Acropora cervicornis],KAK2562841.1,217,A12M1,A12M1
FUN_001915-T1,FUN_001915,Length:109,PREDICTED: RNA polymerase II transcriptional coactivator KIWI-like [Acropora digitifera],XP_015763952.1,121,LEO1,LEO1
FUN_001918-T1,FUN_001918,Length:276,putative glucose-6-phosphate 1-epimerase [Acropora cervicornis],KAK2562950.1,196,G6PD,G6PD
FUN_001920-T1,FUN_001920,Length:207,uncharacterized protein [Montipora capricornis],XP_068740221.1,207,GPRASP1,GPRASP1
FUN_001922-T1,FUN_001922,Length:370,nuclear receptor subfamily 2 group F member 1-A-like isoform X4 [Orbicella faveolata],XP_020604426.1,369,NR2F2,NR2F2
FUN_001923-T1,FUN_001923,Length:249,Oxidoreductase HTATIP2 [Acropora cervicornis],KAK2551384.1,244,HTATIP2,HTATIP2
FUN_001942-T1,FUN_001942,Length:884,Dimethylglycine dehydrogenase [Acropora cervicornis],KAK2562762.1,299,H6PD,H6PD
FUN_001948-T1,FUN_001948,Length: 641,polyunsaturated fatty acid 5-lipoxygenase-like isoform X1 [Acropora muricata],XP_067016343.1,641,FA2H,FA2H
FUN_001949-T1,FUN_001949,Length: 139,hypothetical protein P5673_013923 [Acropora cervicornis],KAK2562943.1,199,NA,NA
FUN_001953-T1,FUN_001953,Length: 514,SH2 domain-containing adapter protein D-like [Acropora muricata],XP_067056474.1,515,HNRNPDLP1,HNRNPDLP1
FUN_001956-T1,FUN_001956,Length: 1966,Deleted in malignant brain tumors 1 protein [Acropora cervicornis],KAK2562838.1,1988,DMBT1L1,DMBT1L1
FUN_001959-T1,FUN_001959,Length: 1943,Scavenger receptor cysteine-rich type 1 protein M130 [Acropora cervicornis],KAK2562833.1,1916,SSC4D,SSC4D
FUN_001966-T1,FUN_001966,Length: 698,protein fem-1 homolog B-like [Acropora muricata],XP_067056598.1,676,SNRPBL1,SNRPBL1
FUN_001969-T1,FUN_001969,Length: 215,Transcription initiation factor IIA subunit 1 [Acropora cervicornis],KAK2562829.1,247,GTF2A1,GTF2A1
FUN_001970-T1,FUN_001970,Length: 3688,protocadherin Fat 4-like isoform X1 [Acropora muricata],XP_067056405.1,3960,XRCC4L,XRCC4L
FUN_001972-T1,FUN_001972,Length:752,PREDICTED: transcriptional repressor p66-beta-like [Acropora digitifera],XP_015760859.1,751,GFI1,GFI1
FUN_001975-T1,FUN_001975,Length: 380,neural cell adhesion molecule L1-like isoform X2 [Acropora muricata],XP_067016483.1,380,CHL1,CHL1
FUN_001976-T1,FUN_001976,Length: 397,neural cell adhesion molecule L1-like isoform X2 [Acropora muricata],XP_067016483.1,380,CHL1,CHL1
FUN_001977-T1,FUN_001977,Length: 505,"hypothetical protein P5673_013751, partial [Acropora cervicornis]",KAK2562802.1,615,NA,NA
FUN_001978-T1,FUN_001978,Length: 275,"hypothetical protein P5673_013751, partial [Acropora cervicornis]",KAK2562802.1,615,NA,NA
FUN_001980-T1,FUN_001980,Length: 172,adenylate kinase isoenzyme 6-like [Montipora capricornis],XP_068740237.1,172,ARL6IP6,ARL6IP6
FUN_001984-T1,FUN_001984,Length: 378,39S ribosomal protein L37 [Acropora cervicornis],KAK2562803.1,378,MRPL37,MRPL37
FUN_001985-T1,FUN_001985,Length: 372,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial-like [Acropora muricata]",XP_067056387.1,372,PDHA1,PDHA1
FUN_001995-T1,FUN_001995,Length:360,Activating signal cointegrator 1 complex subunit 1 [Acropora cervicornis],KAK2573292.1,283,ASCC1,ASCC1
FUN_002004-T1,FUN_002004,Length:2801,uncharacterized protein [Acropora muricata],XP_067054068.1,2802,GPRASP1,GPRASP1
FUN_002006-T1,FUN_002006,Length:3760,PREDICTED: golgin subfamily B member 1-like isoform X1 [Acropora digitifera],XP_015760233.1,3760,SSAV1L,SSAV1L
FUN_002007-T1,FUN_002007,Length:2830,nuclear anchorage protein 1-like [Acropora millepora],XP_029189312.2,2831,FILIP1LP1,FILIP1LP1
FUN_002011-T1,FUN_002011,Length:185,ADP-ribosylation factor 1-like [Acropora millepora],XP_044180780.1,185,MTRF1LP1,MTRF1LP1
FUN_002023-T1,FUN_002023,Length:902,E3 ubiquitin-protein ligase CBL-B-A [Acropora cervicornis],KAK2573373.1,956,TRIM32,TRIM32
FUN_002026-T1,FUN_002026,Length:217,unnamed protein product [Porites evermanni],CAH3182999.1,217,UBA52,UBA52
FUN_002030-T1,FUN_002030,Length:443,myb-like protein X [Acropora muricata],XP_067053885.1,443,HAX1,HAX1
FUN_002031-T1,FUN_002031,Length:350,Platelet-activating factor acetylhydrolase IB subunit alpha1 [Acropora cervicornis],KAK2573620.1,367,PAFAH1B1,PAFAH1B1
FUN_002033-T1,FUN_002033,Length:740,Nicastrin [Acropora cervicornis],KAK2573618.1,762,NCSTN,NCSTN
FUN_002035-T1,FUN_002035,Length:319,PREDICTED: neuromodulin-like [Acropora digitifera],XP_015766465.1,318,NA,NA
FUN_002039-T1,FUN_002039,Length:720,Propionyl-CoA carboxylase alpha chain [Acropora cervicornis],KAK2573867.1,532,PCCA,PCCA
FUN_002042-T1,FUN_002042,Length:173,Translationally-controlled tumor protein-like protein [Acropora cervicornis],KAK2573476.1,138,MLPL1,MLPL1
FUN_002043-T1,FUN_002043,Length:506,bis(5'-adenosyl)-triphosphatase enpp4-like [Acropora millepora],XP_029187126.2,506,NA,NA
FUN_002044-T1,FUN_002044,Length:341,glycogenin-1-like [Acropora muricata],XP_067044064.1,486,NA,NA
FUN_002046-T1,FUN_002046,Length:363,PREDICTED: choline-phosphate cytidylyltransferase B-like [Acropora digitifera],XP_015766472.1,364,SNRPBL1,SNRPBL1
FUN_002047-T1,FUN_002047,Length:525,Flavin-containing monooxygenase 5 [Acropora cervicornis],KAK2573482.1,525,YWHAEP5,YWHAEP5
FUN_002051-T1,FUN_002051,Length:177,NPC intracellular cholesterol transporter 2 [Acropora cervicornis],KAK2573699.1,232,NPC2,NPC2
FUN_002052-T1,FUN_002052,Length:545,Collagen triple helix repeat-containing protein 1 [Acropora cervicornis],KAK2573693.1,870,CTHRC1P1,CTHRC1P1
FUN_002053-T1,FUN_002053,Length:315,Collagen triple helix repeat-containing protein 1 [Acropora cervicornis],KAK2573693.1,870,CTHRC1P1,CTHRC1P1
FUN_002054-T1,FUN_002054,Length:142,40S ribosomal protein S19 [Acropora cervicornis],KAK2573694.1,115,RPS19BP1,RPS19BP1
FUN_002061-T1,FUN_002061,Length:346,Soma ferritin [Acropora cervicornis],KAK2573273.1,177,FTH1,FTH1
FUN_002063-T1,FUN_002063,Length:172,Soma ferritin [Acropora cervicornis],KAK2573277.1,172,FTH1,FTH1
FUN_002064-T1,FUN_002064,Length:228,Soma ferritin [Acropora cervicornis],KAK2573273.1,177,FTH1,FTH1
FUN_002065-T1,FUN_002065,Length:172,Soma ferritin [Acropora cervicornis],KAK2573277.1,172,FTH1,FTH1
FUN_002066-T1,FUN_002066,Length:304,Peroxisomal biogenesis factor 19 [Acropora cervicornis],KAK2573276.1,273,PEX19,PEX19
FUN_002067-T1,FUN_002067,Length:104,Pterin-4-alpha-carbinolamine dehydratase 2 [Acropora cervicornis],KAK2573275.1,104,PCBD2,PCBD2
FUN_002071-T1,FUN_002071,Length:216,Oligoribonuclease [Acropora cervicornis],KAK2573528.1,125,NA,NA
FUN_002082-T1,FUN_002082,Length:243,Hemicentin-2 [Acropora cervicornis],KAK2573258.1,222,HMCN2,HMCN2
FUN_002088-T1,FUN_002088,Length:355,NADPH-dependent aldehyde reductase ARI1 [Acropora cervicornis],KAK2573682.1,309,ALDRL2,ALDRL2
FUN_002089-T1,FUN_002089,Length:358,NADPH-dependent aldehyde reductase ARI1 [Acropora cervicornis],KAK2573682.1,309,ALDRL2,ALDRL2
FUN_002094-T1,FUN_002094,Length:447,hypothetical protein P5673_001367 [Acropora cervicornis],KAK2573684.1,149,NA,NA
FUN_002095-T1,FUN_002095,Length:1163,Thioredoxin domain-containing protein 16 [Acropora cervicornis],KAK2573683.1,979,TMX1,TMX1
FUN_002097-T1,FUN_002097,Length:272,putative thiopurine S-methyltransferase [Acropora palmata],XP_074633247.1,307,TPMT,TPMT
FUN_002098-T1,FUN_002098,Length:587,Elongation factor G [Acropora cervicornis],KAK2573686.1,705,MAFG,MAFG
