"Protein","Protein.Description","pident","UniprotID"
"tr|A0A1Q9EA65|A0A1Q9EA65_SYMMI","Elongation factor G OS=Symbiodinium microadriaticum OX=2951 GN=fusA PE=4 SV=1",NA,NA
"tr|A0A1Q9EA76|A0A1Q9EA76_SYMMI","Protein GrpE OS=Symbiodinium microadriaticum OX=2951 GN=grpE PE=3 SV=1",NA,NA
"tr|A0A1Q9EA88|A0A1Q9EA88_SYMMI","Elongation factor G, mitochondrial OS=Symbiodinium microadriaticum OX=2951 GN=fusA2 PE=3 SV=1",NA,NA
"tr|A0A1Q9EAB1|A0A1Q9EAB1_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene12558 PE=4 SV=1",NA,NA
"tr|A0A1Q9EAD4|A0A1Q9EAD4_SYMMI","Putative U6 snRNA-associated Sm-like protein LSm4 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene12540 PE=3 SV=1",NA,NA
"tr|A0A1Q9EAE0|A0A1Q9EAE0_SYMMI","Phosphoglycerate kinase OS=Symbiodinium microadriaticum OX=2951 GN=pgk-1 PE=3 SV=1",NA,NA
"tr|A0A1Q9EAF2|A0A1Q9EAF2_SYMMI","Proteasome endopeptidase complex OS=Symbiodinium microadriaticum OX=2951 GN=PAB1 PE=3 SV=1",NA,NA
"tr|A0A1Q9EAH4|A0A1Q9EAH4_SYMMI","Putative tRNA 2'-phosphotransferase OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene12516 PE=4 SV=1",NA,NA
"tr|A0A1Q9EAI3|A0A1Q9EAI3_SYMMI","Retrovirus-related Pol polyprotein from transposon TNT 1-94 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene12487 PE=4 SV=1",NA,NA
"tr|A0A1Q9EAR6|A0A1Q9EAR6_SYMMI","5'-nucleotidase OS=Symbiodinium microadriaticum OX=2951 GN=nutA PE=4 SV=1",NA,NA
"tr|A0A1Q9EAS1|A0A1Q9EAS1_SYMMI","Peptidylprolyl isomerase OS=Symbiodinium microadriaticum OX=2951 GN=MIP PE=4 SV=1",NA,NA
"tr|A0A1Q9EAT4|A0A1Q9EAT4_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene12439 PE=4 SV=1",NA,NA
"tr|A0A1Q9EAT6|A0A1Q9EAT6_SYMMI","RNase H domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene12363 PE=4 SV=1",NA,NA
"tr|A0A1Q9EAU4|A0A1Q9EAU4_SYMMI","Carrier domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene12376 PE=4 SV=1",NA,NA
"tr|A0A1Q9EAV0|A0A1Q9EAV0_SYMMI","Nicotinamide phosphoribosyltransferase OS=Symbiodinium microadriaticum OX=2951 GN=Nampt PE=3 SV=1",NA,NA
"tr|A0A1Q9EAV2|A0A1Q9EAV2_SYMMI","UMP-CMP kinase OS=Symbiodinium microadriaticum OX=2951 GN=cmpk PE=3 SV=1",NA,NA
"tr|A0A1Q9EAX5|A0A1Q9EAX5_SYMMI","Peptide-methionine (S)-S-oxide reductase OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene12299 PE=3 SV=1",NA,NA
"tr|A0A1Q9EB01|A0A1Q9EB01_SYMMI","Pentatricopeptide repeat-containing protein, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene12302 PE=4 SV=1",NA,NA
"tr|A0A1Q9EB33|A0A1Q9EB33_SYMMI","WD repeat-containing protein 65 OS=Symbiodinium microadriaticum OX=2951 GN=Wdr65 PE=4 SV=1",NA,NA
"tr|A0A1Q9EB44|A0A1Q9EB44_SYMMI","Phosphoenolpyruvate carboxylase OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene12293 PE=4 SV=1",NA,NA
"tr|A0A1Q9EB83|A0A1Q9EB83_SYMMI","ATP synthase subunit C, plastid OS=Symbiodinium microadriaticum OX=2951 GN=atpE PE=3 SV=1",NA,NA
"tr|A0A1Q9EB93|A0A1Q9EB93_SYMMI","Cleavage and polyadenylation specificity factor 73 OS=Symbiodinium microadriaticum OX=2951 GN=Cpsf73 PE=4 SV=1",NA,NA
"tr|A0A1Q9EBD6|A0A1Q9EBD6_SYMMI","Ammonium transporter 2 OS=Symbiodinium microadriaticum OX=2951 GN=amtB PE=4 SV=1",NA,NA
"tr|A0A1Q9EBI3|A0A1Q9EBI3_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene12033 PE=4 SV=1",NA,NA
"tr|A0A1Q9EBK6|A0A1Q9EBK6_SYMMI","ALA-interacting subunit 5 OS=Symbiodinium microadriaticum OX=2951 GN=ALIS5 PE=3 SV=1",NA,NA
"tr|A0A1Q9EBR7|A0A1Q9EBR7_SYMMI","Ankyrin-2 OS=Symbiodinium microadriaticum OX=2951 GN=ANK2 PE=4 SV=1",NA,NA
"tr|A0A1Q9EBX7|A0A1Q9EBX7_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene11953 PE=4 SV=1",NA,NA
"tr|A0A1Q9EBY1|A0A1Q9EBY1_SYMMI","26S protease regulatory subunit 6A OS=Symbiodinium microadriaticum OX=2951 GN=PSMC3 PE=3 SV=1",NA,NA
"tr|A0A1Q9EBY3|A0A1Q9EBY3_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene11936 PE=4 SV=1",NA,NA
"tr|A0A1Q9EBY9|A0A1Q9EBY9_SYMMI","Vignain OS=Symbiodinium microadriaticum OX=2951 GN=CYSEP PE=3 SV=1",NA,NA
"tr|A0A1Q9EC13|A0A1Q9EC13_SYMMI","Heat shock cognate 90 kDa protein OS=Symbiodinium microadriaticum OX=2951 GN=hspD PE=3 SV=1",NA,NA
"tr|A0A1Q9EC21|A0A1Q9EC21_SYMMI","Glutamate-1-semialdehyde 2,1-aminomutase OS=Symbiodinium microadriaticum OX=2951 GN=GSA1 PE=3 SV=1",NA,NA
"tr|A0A1Q9EC29|A0A1Q9EC29_SYMMI","ANK_REP_REGION domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene11929 PE=4 SV=1",NA,NA
"tr|A0A1Q9EC60|A0A1Q9EC60_SYMMI","Pro-apoptotic serine protease NMA111 OS=Symbiodinium microadriaticum OX=2951 GN=NMA111 PE=3 SV=1",NA,NA
"tr|A0A1Q9EC88|A0A1Q9EC88_SYMMI","Reverse transcriptase Ty1/copia-type domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene11763 PE=4 SV=1",NA,NA
"tr|A0A1Q9ECB6|A0A1Q9ECB6_SYMMI","Two pore calcium channel protein 1A OS=Symbiodinium microadriaticum OX=2951 GN=TPC1A PE=4 SV=1",NA,NA
"tr|A0A1Q9ECD6|A0A1Q9ECD6_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene11771 PE=4 SV=1",NA,NA
"tr|A0A1Q9ECG7|A0A1Q9ECG7_SYMMI","Selenocysteine lyase OS=Symbiodinium microadriaticum OX=2951 GN=SCLY PE=4 SV=1",NA,NA
"tr|A0A1Q9ECL7|A0A1Q9ECL7_SYMMI","DNA-directed DNA polymerase OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene11672 PE=3 SV=1",NA,NA
"tr|A0A1Q9ECP3|A0A1Q9ECP3_SYMMI","Putative ATP-dependent RNA helicase ddx6 OS=Symbiodinium microadriaticum OX=2951 GN=ddx6 PE=4 SV=1",NA,NA
"tr|A0A1Q9ECP6|A0A1Q9ECP6_SYMMI","Citrate synthase OS=Symbiodinium microadriaticum OX=2951 GN=CSY4 PE=3 SV=1",NA,NA
"tr|A0A1Q9ECY8|A0A1Q9ECY8_SYMMI","GPN-loop GTPase 2 OS=Symbiodinium microadriaticum OX=2951 GN=Gpn2 PE=3 SV=1",NA,NA
"tr|A0A1Q9ED09|A0A1Q9ED09_SYMMI","Linear gramicidin synthase subunit A OS=Symbiodinium microadriaticum OX=2951 GN=lgrA PE=4 SV=1",NA,NA
"tr|A0A1Q9ED51|A0A1Q9ED51_SYMMI","RRM domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene11524 PE=4 SV=1",NA,NA
"tr|A0A1Q9EDB7|A0A1Q9EDB7_SYMMI","Heat shock 70 kDa protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene11385 PE=4 SV=1",NA,NA
"tr|A0A1Q9EDF5|A0A1Q9EDF5_SYMMI","Glutathione S-transferase OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene11363 PE=4 SV=1",NA,NA
"tr|A0A1Q9EDG0|A0A1Q9EDG0_SYMMI","Putative E3 ubiquitin-protein ligase HERC1 OS=Symbiodinium microadriaticum OX=2951 GN=HERC1 PE=4 SV=1",NA,NA
"tr|A0A1Q9EDG2|A0A1Q9EDG2_SYMMI","Copia protein OS=Symbiodinium microadriaticum OX=2951 GN=GIP PE=4 SV=1",NA,NA
"tr|A0A1Q9EDH9|A0A1Q9EDH9_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene11349 PE=4 SV=1",NA,NA
"tr|A0A1Q9EDN7|A0A1Q9EDN7_SYMMI","Presequence protease 1, chloroplastic/mitochondrial OS=Symbiodinium microadriaticum OX=2951 GN=PREP1 PE=3 SV=1",NA,NA
"tr|A0A1Q9EDU9|A0A1Q9EDU9_SYMMI","Putative ATP-dependent RNA helicase ddx17 OS=Symbiodinium microadriaticum OX=2951 GN=ddx17 PE=4 SV=1",NA,NA
"tr|A0A1Q9EE25|A0A1Q9EE25_SYMMI","Monothiol glutaredoxin-S16, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=GRXS16 PE=4 SV=1",NA,NA
"tr|A0A1Q9EE35|A0A1Q9EE35_SYMMI","50S ribosomal protein L12, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=rpl12 PE=3 SV=1",NA,NA
"tr|A0A1Q9EE91|A0A1Q9EE91_SYMMI","Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3 OS=Symbiodinium microadriaticum OX=2951 GN=Hcn3 PE=4 SV=1",NA,NA
"tr|A0A1Q9EE95|A0A1Q9EE95_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene11040 PE=4 SV=1",NA,NA
"tr|A0A1Q9EEB0|A0A1Q9EEB0_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene11025 PE=4 SV=1",NA,NA
"tr|A0A1Q9EEB9|A0A1Q9EEB9_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene11024 PE=4 SV=1",NA,NA
"tr|A0A1Q9EEE9|A0A1Q9EEE9_SYMMI","Signal recognition particle subunit SRP54 OS=Symbiodinium microadriaticum OX=2951 GN=SRP54 PE=4 SV=1",NA,NA
"tr|A0A1Q9EEG6|A0A1Q9EEG6_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene10986 PE=4 SV=1",NA,NA
"tr|A0A1Q9EEG8|A0A1Q9EEG8_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene10941 PE=4 SV=1",NA,NA
"tr|A0A1Q9EEJ5|A0A1Q9EEJ5_SYMMI","Developmentally-regulated G-protein 2 OS=Symbiodinium microadriaticum OX=2951 GN=DRG2 PE=4 SV=1",NA,NA
"tr|A0A1Q9EEL5|A0A1Q9EEL5_SYMMI","Glutamine amidotransferase OS=Symbiodinium microadriaticum OX=2951 GN=guaA PE=3 SV=1",NA,NA
"tr|A0A1Q9EEQ1|A0A1Q9EEQ1_SYMMI","Aromatic-amino-acid aminotransferase 1 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene10816 PE=4 SV=1",NA,NA
"tr|A0A1Q9EET3|A0A1Q9EET3_SYMMI","Clathrin heavy chain 1 OS=Symbiodinium microadriaticum OX=2951 GN=CHC1 PE=4 SV=1",NA,NA
"tr|A0A1Q9EF14|A0A1Q9EF14_SYMMI","DNA excision repair protein ERCC-6-like OS=Symbiodinium microadriaticum OX=2951 GN=ercc6l PE=4 SV=1",NA,NA
"tr|A0A1Q9EF74|A0A1Q9EF74_SYMMI","Ankyrin repeat domain-containing protein 50 OS=Symbiodinium microadriaticum OX=2951 GN=ANKRD50 PE=4 SV=1",NA,NA
"tr|A0A1Q9EF77|A0A1Q9EF77_SYMMI","H(+)-exporting diphosphatase OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene10684 PE=4 SV=1",NA,NA
"tr|A0A1Q9EFC9|A0A1Q9EFC9_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene10641 PE=4 SV=1",NA,NA
"tr|A0A1Q9EFF8|A0A1Q9EFF8_SYMMI","Protein GrpE OS=Symbiodinium microadriaticum OX=2951 GN=grpE PE=3 SV=1",NA,NA
"tr|A0A1Q9EFJ5|A0A1Q9EFJ5_SYMMI","Poly(A) RNA polymerase cid13 OS=Symbiodinium microadriaticum OX=2951 GN=cid13 PE=4 SV=1",NA,NA
"tr|A0A1Q9EFQ2|A0A1Q9EFQ2_SYMMI","5'-3' exoribonuclease 1 OS=Symbiodinium microadriaticum OX=2951 GN=Xrn1 PE=3 SV=1",NA,NA
"tr|A0A1Q9EG43|A0A1Q9EG43_SYMMI","Dynein assembly factor 3, axonemal OS=Symbiodinium microadriaticum OX=2951 GN=Dnaaf3 PE=4 SV=1",NA,NA
"tr|A0A1Q9EG52|A0A1Q9EG52_SYMMI","60S ribosomal protein L11 OS=Symbiodinium microadriaticum OX=2951 GN=rpl11a PE=3 SV=1",NA,NA
"tr|A0A1Q9EG78|A0A1Q9EG78_SYMMI","Putative calmodulin-like protein 6 OS=Symbiodinium microadriaticum OX=2951 GN=CML6 PE=4 SV=1",NA,NA
"tr|A0A1Q9EG83|A0A1Q9EG83_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene10230 PE=4 SV=1",NA,NA
"tr|A0A1Q9EG97|A0A1Q9EG97_SYMMI","Phosphoglycerate kinase OS=Symbiodinium microadriaticum OX=2951 GN=PGK1 PE=3 SV=1",NA,NA
"tr|A0A1Q9EGA6|A0A1Q9EGA6_SYMMI","Potassium-transporting ATPase alpha chain 1 OS=Symbiodinium microadriaticum OX=2951 GN=ATP4A PE=4 SV=1",NA,NA
"tr|A0A1Q9EGE8|A0A1Q9EGE8_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene10249 PE=4 SV=1",NA,NA
"tr|A0A1Q9EGG1|A0A1Q9EGG1_SYMMI","14 kDa zinc-binding protein OS=Symbiodinium microadriaticum OX=2951 GN=ZBP14 PE=4 SV=1",NA,NA
"tr|A0A1Q9EGH1|A0A1Q9EGH1_SYMMI","Sodium channel protein 60E OS=Symbiodinium microadriaticum OX=2951 GN=NaCP60E PE=4 SV=1",NA,NA
"tr|A0A1Q9EGH4|A0A1Q9EGH4_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene10181 PE=4 SV=1",NA,NA
"tr|A0A1Q9EGL8|A0A1Q9EGL8_SYMMI","Voltage-dependent N-type calcium channel subunit alpha-1B OS=Symbiodinium microadriaticum OX=2951 GN=CACNA1B PE=4 SV=1",NA,NA
"tr|A0A1Q9EGL9|A0A1Q9EGL9_SYMMI","Retrovirus-related Pol polyprotein from transposon TNT 1-94 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene10110 PE=4 SV=1",NA,NA
"tr|A0A1Q9EGM5|A0A1Q9EGM5_SYMMI","Protein yorkie OS=Symbiodinium microadriaticum OX=2951 GN=yki PE=4 SV=1",NA,NA
"tr|A0A1Q9EGS5|A0A1Q9EGS5_SYMMI","ATP synthase subunit b, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=atpF PE=4 SV=1",NA,NA
"tr|A0A1Q9EGS7|A0A1Q9EGS7_SYMMI","Dynein regulatory complex protein 1 OS=Symbiodinium microadriaticum OX=2951 GN=DRC1 PE=3 SV=1",NA,NA
"tr|A0A1Q9EGU4|A0A1Q9EGU4_SYMMI","ATP synthase subunit delta OS=Symbiodinium microadriaticum OX=2951 GN=atpH PE=3 SV=1",NA,NA
"tr|A0A1Q9EGX0|A0A1Q9EGX0_SYMMI","Calcium-dependent protein kinase 2 OS=Symbiodinium microadriaticum OX=2951 GN=CPK2 PE=4 SV=1",NA,NA
"tr|A0A1Q9EGX2|A0A1Q9EGX2_SYMMI","Cyclopropane-fatty-acyl-phospholipid synthase OS=Symbiodinium microadriaticum OX=2951 GN=cfa PE=4 SV=1",NA,NA
"tr|A0A1Q9EGX3|A0A1Q9EGX3_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene10054 PE=4 SV=1",NA,NA
"tr|A0A1Q9EGX9|A0A1Q9EGX9_SYMMI","Eukaryotic initiation factor 4A-III OS=Symbiodinium microadriaticum OX=2951 GN=eif4a3 PE=4 SV=1",NA,NA
"tr|A0A1Q9EGY9|A0A1Q9EGY9_SYMMI","Protein translocase subunit SecA OS=Symbiodinium microadriaticum OX=2951 GN=secA PE=3 SV=1",NA,NA
"tr|A0A1Q9EH83|A0A1Q9EH83_SYMMI","Pentatricopeptide repeat-containing protein, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene9864 PE=4 SV=1",NA,NA
"tr|A0A1Q9EH95|A0A1Q9EH95_SYMMI","ATPase RavA OS=Symbiodinium microadriaticum OX=2951 GN=ravA PE=4 SV=1",NA,NA
"tr|A0A1Q9EHA2|A0A1Q9EHA2_SYMMI","Proteasome subunit beta OS=Symbiodinium microadriaticum OX=2951 GN=psmB6 PE=3 SV=1",NA,NA
"tr|A0A1Q9EHH4|A0A1Q9EHH4_SYMMI","Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene9768 PE=4 SV=1",NA,NA
"tr|A0A1Q9EHJ8|A0A1Q9EHJ8_SYMMI","Serine/threonine-protein phosphatase OS=Symbiodinium microadriaticum OX=2951 GN=ppt1 PE=3 SV=1",NA,NA
"tr|A0A1Q9EHN5|A0A1Q9EHN5_SYMMI","Catechol O-methyltransferase OS=Symbiodinium microadriaticum OX=2951 GN=Comt PE=4 SV=1",NA,NA
"tr|A0A1Q9EHS0|A0A1Q9EHS0_SYMMI","40S ribosomal protein SA OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene9717 PE=3 SV=1",NA,NA
"tr|A0A1Q9EHS2|A0A1Q9EHS2_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene9611 PE=4 SV=1",NA,NA
"tr|A0A1Q9EHT8|A0A1Q9EHT8_SYMMI","Nicotinamide-nucleotide adenylyltransferase 1 OS=Symbiodinium microadriaticum OX=2951 GN=NMA1 PE=4 SV=1",NA,NA
"tr|A0A1Q9EHV3|A0A1Q9EHV3_SYMMI","Phosphoglycerate kinase OS=Symbiodinium microadriaticum OX=2951 GN=ssp2 PE=3 SV=1",NA,NA
"tr|A0A1Q9EI05|A0A1Q9EI05_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene9602 PE=4 SV=1",NA,NA
"tr|A0A1Q9EI31|A0A1Q9EI31_SYMMI","NADP-dependent glyceraldehyde-3-phosphate dehydrogenase OS=Symbiodinium microadriaticum OX=2951 GN=gapN PE=4 SV=1",NA,NA
"tr|A0A1Q9EI82|A0A1Q9EI82_SYMMI","ATP-citrate synthase OS=Symbiodinium microadriaticum OX=2951 GN=Acly PE=3 SV=1",NA,NA
"tr|A0A1Q9EI86|A0A1Q9EI86_SYMMI","Heat shock protein 90 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene9503 PE=3 SV=1",NA,NA
"tr|A0A1Q9EIB4|A0A1Q9EIB4_SYMMI","Fucoxanthin-chlorophyll a-c binding protein F, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=FCPF PE=4 SV=1",NA,NA
"tr|A0A1Q9EIB5|A0A1Q9EIB5_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene9433 PE=4 SV=1",NA,NA
"tr|A0A1Q9EIC2|A0A1Q9EIC2_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene9445 PE=4 SV=1",NA,NA
"tr|A0A1Q9EIQ2|A0A1Q9EIQ2_SYMMI","Retrovirus-related Pol polyprotein from transposon TNT 1-94 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene9293 PE=4 SV=1",NA,NA
"tr|A0A1Q9EIU3|A0A1Q9EIU3_SYMMI","Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM OS=Symbiodinium microadriaticum OX=2951 GN=pol PE=4 SV=1",NA,NA
"tr|A0A1Q9EIW4|A0A1Q9EIW4_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene9289 PE=4 SV=1",NA,NA
"tr|A0A1Q9EIZ6|A0A1Q9EIZ6_SYMMI","Putative tRNA/rRNA methyltransferase Rv0881 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene9241 PE=4 SV=1",NA,NA
"tr|A0A1Q9EJ53|A0A1Q9EJ53_SYMMI","Peptidylprolyl isomerase OS=Symbiodinium microadriaticum OX=2951 GN=pntA PE=4 SV=1",NA,NA
"tr|A0A1Q9EJ86|A0A1Q9EJ86_SYMMI","Phosphoserine transaminase OS=Symbiodinium microadriaticum OX=2951 GN=serC PE=3 SV=1",NA,NA
"tr|A0A1Q9EJ88|A0A1Q9EJ88_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene9115 PE=4 SV=1",NA,NA
"tr|A0A1Q9EJ89|A0A1Q9EJ89_SYMMI","AP-1 complex subunit gamma-1 OS=Symbiodinium microadriaticum OX=2951 GN=Ap1g1 PE=4 SV=1",NA,NA
"tr|A0A1Q9EJA0|A0A1Q9EJA0_SYMMI","Ribose-phosphate pyrophosphokinase OS=Symbiodinium microadriaticum OX=2951 GN=prs PE=3 SV=1",NA,NA
"tr|A0A1Q9EJE0|A0A1Q9EJE0_SYMMI","Opioid growth factor receptor OS=Symbiodinium microadriaticum OX=2951 GN=OGFR PE=3 SV=1",NA,NA
"tr|A0A1Q9EJE2|A0A1Q9EJE2_SYMMI","Putative WD repeat-containing protein C17D11.16 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene9094 PE=3 SV=1",NA,NA
"tr|A0A1Q9EJH2|A0A1Q9EJH2_SYMMI","Peptidyl-prolyl cis-trans isomerase OS=Symbiodinium microadriaticum OX=2951 GN=rotA PE=3 SV=1",NA,NA
"tr|A0A1Q9EJJ4|A0A1Q9EJJ4_SYMMI","Probable acetate kinase OS=Symbiodinium microadriaticum OX=2951 GN=ackA PE=3 SV=1",NA,NA
"tr|A0A1Q9EJM3|A0A1Q9EJM3_SYMMI","Centrosomal protein of 76 kDa OS=Symbiodinium microadriaticum OX=2951 GN=yojK PE=3 SV=1",NA,NA
"tr|A0A1Q9EJN1|A0A1Q9EJN1_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene9001 PE=4 SV=1",NA,NA
"tr|A0A1Q9EJP2|A0A1Q9EJP2_SYMMI","Alpha N-terminal protein methyltransferase 1 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene8945 PE=3 SV=1",NA,NA
"tr|A0A1Q9EJQ2|A0A1Q9EJQ2_SYMMI","Polycystin-2 OS=Symbiodinium microadriaticum OX=2951 GN=pkd2 PE=4 SV=1",NA,NA
"tr|A0A1Q9EJU1|A0A1Q9EJU1_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene8879 PE=4 SV=1",NA,NA
"tr|A0A1Q9EJZ0|A0A1Q9EJZ0_SYMMI","Putative fumarate reductase OS=Symbiodinium microadriaticum OX=2951 GN=osm1 PE=3 SV=1",NA,NA
"tr|A0A1Q9EK29|A0A1Q9EK29_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene8785 PE=4 SV=1",NA,NA
"tr|A0A1Q9EK40|A0A1Q9EK40_SYMMI","Putative metal chaperone YciC OS=Symbiodinium microadriaticum OX=2951 GN=yciC PE=4 SV=1",NA,NA
"tr|A0A1Q9EK57|A0A1Q9EK57_SYMMI","Cadmium/zinc-transporting ATPase HMA2 OS=Symbiodinium microadriaticum OX=2951 GN=HMA2 PE=3 SV=1",NA,NA
"tr|A0A1Q9EK91|A0A1Q9EK91_SYMMI","Peptidyl-prolyl cis-trans isomerase CYP38, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=CYP38 PE=3 SV=1",NA,NA
"tr|A0A1Q9EKA5|A0A1Q9EKA5_SYMMI","Ammonium transporter 2 OS=Symbiodinium microadriaticum OX=2951 GN=amtB PE=3 SV=1",NA,NA
"tr|A0A1Q9EKD1|A0A1Q9EKD1_SYMMI","Elongation factor G, mitochondrial OS=Symbiodinium microadriaticum OX=2951 GN=MEF1 PE=4 SV=1",NA,NA
"tr|A0A1Q9EKJ4|A0A1Q9EKJ4_SYMMI","C2H2-type domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene8608 PE=4 SV=1",NA,NA
"tr|A0A1Q9EKL8|A0A1Q9EKL8_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene8599 PE=4 SV=1",NA,NA
"tr|A0A1Q9EKW2|A0A1Q9EKW2_SYMMI","Ferredoxin OS=Symbiodinium microadriaticum OX=2951 GN=Ferredoxin PE=3 SV=1",NA,NA
"tr|A0A1Q9EKW5|A0A1Q9EKW5_SYMMI","Dynein heavy chain 7, axonemal OS=Symbiodinium microadriaticum OX=2951 GN=DNAH7 PE=3 SV=1",NA,NA
"tr|A0A1Q9EL17|A0A1Q9EL17_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene8427 PE=4 SV=1",NA,NA
"tr|A0A1Q9EL63|A0A1Q9EL63_SYMMI","GDP-fucose protein O-fucosyltransferase 2 OS=Symbiodinium microadriaticum OX=2951 GN=POFUT2 PE=4 SV=1",NA,NA
"tr|A0A1Q9EL88|A0A1Q9EL88_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene8345 PE=4 SV=1",NA,NA
"tr|A0A1Q9ELI9|A0A1Q9ELI9_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene8197 PE=4 SV=1",NA,NA
"tr|A0A1Q9ELM5|A0A1Q9ELM5_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene8247 PE=4 SV=1",NA,NA
"tr|A0A1Q9ELM9|A0A1Q9ELM9_SYMMI","LINE-1 reverse transcriptase-like OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene8191 PE=4 SV=1",NA,NA
